airline_sentiment,text
negative,@united so disgusted and disappointed with united airlines luggage policies and attitude toward musicians. Unacceptable
negative,"@united missing my amazing us bank work conference, not ok.  What do I do now?????"
negative,"@united ... frozen lines on flight, not continuing due to 'passenger comfort'? Not ok, sat on the plane as long as a flight to Vegas would !"
negative,@united my last call your customer service agent called me back... As he was stuck on hold to air Canada.. Just hope he's booked me a flight
negative,@united you left my bag in Houston last night. It's freezing cold in Memphis. Any idea on when I will see it? Off again tomorrow.
positive,@united this is why I fly @SouthwestAir ... Never have any issues
negative,@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed
negative,"@united I have tried and you have failed. Still no wifi ever, last row in the middle and I fly every week. Thanks for nothing."
positive,@united great flight into PVD. Smallest plane I have ever been on and smoothest landing ever!
negative,@united trying to check in for tomorrow's flight. website keeps timing out. what's up?
negative,"@united yes, computer would allow me to get to San Diego quick but customer service will not help.  Says can't rebook http://t.co/KcVUbUYExc"
negative,"@United says we had a weather delay in #YXE this morning. The ""weather"" didn't affect any other airline. #UA6136 http://t.co/4JdvK8tCqx"
neutral,@united Do you have Bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week.
negative,"@united It was Cancelled Flightled, none of the passengers were notified. Complete violation of travelers' rights.  @AerocivilCol"
negative,@united thanks for ruined my vacation for having poorly maintained aircrafts that can’t fly safely out of STT. #UA1481 #Cancelled Flightledflight
neutral,@united in fact he received my boarding pass
neutral,@united @Lmuschel he is traveling with me on a sep reservation number F3KxB8
negative,“@united:That's not something we like to hear. Hopefully our staff can resolve &amp; have you on your way ASAP. ^ML”:3:15 &amp; still not resolved
neutral,@united You must follow me in order for me to send you a direct message if that is what you meant.
neutral,@united I don't know what DM the confirmation number means.
negative,"@united Waiting for 3494 EWR-ORD, delayed 47 mins. Might miss 5491 ORD-YWG at 6pm CT. Any room on 5644 ORD-YWG in case I miss connex?"
neutral,@united What does DM the confirmation @ mean???
negative,"@united - well, now finally on board hopefully we take off this time and quickly. Well over an hour delay!!"
negative,@united I missed my connection already. Then I missed the next flight they put me on.  Now I'm going to LAX instead of Hawaii.  :(
negative,@united reservation was made last July. I want to know why I wasn't reseated. This only happens on international itineraries
negative,@united line full of worried customers and guy at desk says so sorry you will have to take care of your problems Late Flightr I don't have time.
negative,"@united 

There must be 100 people waiting in line for customer service at DEN to deal with flight Cancelled Flightations."
negative,"@united, American never had my bags apparently. United never switched them over. Had to go back to United Baggage Service."
negative,@united unacceptable. 403 was 90 min Late Flight for a 'missing screw' our flight to Tucson left before we even landed
negative,"@united CMH gate staff a disaster..#3345 overbooked, no volunteers, no boarding, 20 min Late Flight trying to figure out issue #bringbackrealstaff"
negative,"@united Waiting half an hour for my checked bag at EWR (&amp; that was Priority); disappointing, usually you guys are good."
negative,@united Are your earnings so low that checkin people have to also be on Tarmac loading bags? JAN
negative,"@united thank you for dishonoring my upgrade and putting me in a seat I didn't want, all while not even notifying me.  Great 1K service 👎"
negative,@united you guys are gay
negative,@united the emails/calls over the past months about flight changes were helpful wish you would have sent them on the Cancelled Flightlation yesterday
negative,"@united - so they changed depart from 1:45 to 2:00pm &amp; it is now 1:40pm &amp; the Capt. just got off the plane to find a smoothie, 2pm my ass!!!"
positive,"@united Thanks so much , my passport was recovered"
negative,@united  Thanks for nothing! No Atlanta Lounge? Your Ap says NO. Sure nothing at Terminal T http://t.co/tFjfMSHa2k
neutral,@united no thank you
negative,"@united - tick, tock, tick, tock, it is rapidly approaching the next dream departure of 1:45pm. When is the next fantasy departure time??"
negative,@united it would make my day if I could take a flight on your airline without any hiccups on your end. Train your employees to communicate
negative,"@united a baby shit its pants half way through my flight and it smelled like shit, what are you going to do about this?"
negative,"@united You cause me to miss my flight telling me it already left when it had not. No empathy from gate staff or crew, no apology. Really?"
negative,@United rescheduled my return flight from #Japan?  Uh why?  Trying to call #UnitedAirlines #customerservice - 45 min wait.  #fun
negative,@united is by far the worst airline ever 😡😡
negative,"@united, no. Re-booked with American and United said they'd transfer our bags to them."
negative,@united I am appalled at your lack of communication during our awful journey on 2/21 EWR to BOS. 4 hr delays need to be explained better.
negative,@united I'm DMing my info and no is assisting. My flight home left before m first flight had even landed
negative,@united Boston is all self service. Swipe yr own boarding pass at gate. Most difficult: Tag your own bag. Not easy! #ImproveTheProcess
neutral,@united Name correct on original confirmation but spelled wrong on check-in reminder. First name and MI run together. Cause for concern?
negative,@united more people would catch their flights if your attendants had more help!
negative,"@United no consistency, #Denver agents say no standby with checked baggage citing FAA. Your website policy says otherwise. #time2switch"
negative,Only 14 biz days (18 calendar) to respond to my inquiry @united ?  I hope your standards are universally adopted :-/ #BadCustomerService
negative,@united Thanks but why did this occur? You guys had 3 hours extra to get my bag on due to your delay. So that's 7 hours you had. #fail!
negative,@united so many delays today...What's up with that? Hoping my 12:26pm flight boards soon. #United #premier1K
negative,"@united your website is fucked up. Now instead of a $416 flight I should’ve had yesterday, it’s $514 today. Thanks."
negative,@united called back and I've been on hold. What is the issue?! I have a confirmation number and an email that shows how much I've paid
negative,"@united I'm not sure how you can help. Your flight experience is terrible, planes are dirty and staff is rude. Start over perhaps?"
negative,@united check in and it's still saying I haven't paid. I've called back twice was on hold for 30 minutes then they answered and hung up. I
negative,@united hold for 30 minutes finally got someone and they retook my form of payment and confirmed that my reservation was set. I tried to
neutral,"@united welcome to our world, that's a snow world today. @GooseBayAirport Goose Bay, Labrador, Canada. http://t.co/4kI6Xr67nk"
negative,@united I bought a ticket yesterday and received a confirmation. Tried to check in and they said I hadn't paid for it. So I called was on
negative,"@united delayed because of salt on the floor from previous passengers? The 180 of just just want to fly, don't care about our shoes. Ua649"
negative,"@united @czamkoff It's all about profit, and they don't really give a damn about paying customers!!!! #greed"
negative,@united I unfortunately didn't get her name :( she was not nice!
negative,@united  what did you do with my seat. International connection. Seriously?
positive,@united thanks. Just got on a couple of minutes ago. Great service on flight 479 btw. Please pass it to the team on that flight.
negative,@united My bag is lost and I can't get ahold of anyone that can help
negative,@united Then you delete my return ticket to Europe and blame me for the now show? This airline is a joke. 3 times this happened now.3 times!
negative,"@united When my United flight arrives Late Flight and I'm told to re-book my connecting United flight, you characterize that as a ""no show"""
positive,@united your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!
negative,@united never flying United again! Worst experience ever
negative,"@united @TiffanyAndCo @NTrustOpen ah, so that's where the funds to fix the broken plane upon which I sat for 4 hrs on IAH runway went."
neutral,@united tried that. Cannot figure out where to go to get it.
negative,@united cannot direct message you you do not follow us. I want my luggage.  Please hep
neutral,@united Did you get your 757 Model?
negative,@united flight 5903 stranded on Tarmac in Chicago. No gates available?! Plane getting very hot and uncomfortable.
negative,@united we rebooked and disappointed we have to wait a whole day to start our vacation. At these fares United should have top notch service
negative,@united direct messages not going through please help
neutral,"@United why not charge for 2nd carryon instead of checked bag? Less jockeying for overhead space, happier passengers, more ontime departures"
negative,@united Adding reservation to iOS app doesn't show up on desktop site when logged in. And miles can't be redeemed for upgrades thru your app
negative,@united I assume that would be for the other 300 people who have been let down by United? What's worse is plane is here but crew can't fly!!
negative,@united   Pushing 2 hours on hold. Priceless. http://t.co/thS10LDY2a
positive,@united will do. Just need to get CVG.... and my bag too. Thanks
negative,"@united read the thread. I booked 1st class , now seated at 38E even though United Twtr account confirmed Eco Premium."
negative,@united Hi there bag ID is UA6016053916 can you update me and explain why is occurred when I arrived 4 hours before flight!
neutral,@united doesn't purchasing ticket with a united card give me priority boarding ?
negative,"@united hi yes need a free hotel stay in Honalulu due to 4 hour delayUA53, since we will miss our second flight to Kauai"
negative,@united so what's the solution?
negative,@united is screwing with my flights again at CAE? Why do you bother having flights here if they never leave on time or get Cancelled Flighted?
negative,@united no. I need you to have more than 2 agents at check in.
negative,@united so this did not work out at all!! Incredibly unfriendly ground staff and false promises over Twitter @theairhelper
positive,"@united we got it, thanks."
negative,@united The so below skilled staff and inadequate system just deleted my return from Houston to Norway. Shoulder shrugging is all you do..
positive,"@united This is probably the least dependable airline in the Western Hemisphere. @united does not belong in Star Alliance, but SkyTeam"
negative,@united severely under staffed at Iah.
positive,@united amazing hospitality and helpfulness from Anthony Lastella. Great staff 👏👏👏✈️ def flying #united again.
negative,@united this 2 hr delay is a vacation buzzkill
positive,"@united just touched down in Miami - not too far off , Nicely done united 👍"
neutral,@united what's the status of flight 1008 Bogotá-Houston?
negative,@united really enjoying my Sunday on hold...over 1 hour. Perhaps a better client experience is needed. http://t.co/8VnCKgZxl1
neutral,@united Is a snowboard boot bag included in the standard checked baggage next to the snowboard bag?
negative,"@united broken light, 35 mins to get bridge to gate, airplane parked wrong , bathroom not emptied last night....your airline in last 3 hrs"
negative,@united I would appreciate a response regarding the pressurization failure on flight 1109. You seem to be responding to less serious issues
positive,"@united it was very comfortable, now waiting for our luggage"
neutral,"@united getting ready to book a flight to San Juan. Was wondering, Does United waive baggage fees for military personnel. Thanks."
negative,"@united once again you guys didn't let me down, a four hour delay to Honolulu from Houston, thanks for the train wreck of issues now coming"
positive,@united thank you
positive,@united finally got through and they were very helpful. Appreciate it!
neutral,@united pls follow for DM
neutral,"@united ah, that would explain why crew didn't seem particularly distressed when we pointed it out. It was a little startling at first."
negative,@united not for me.  I am on another Ua flight 2 gates down that was held 15 mins for cnx pax.
neutral,@united can you assign seats
negative,“@united: @4geiger It looks like form the photo that something burst out of your luggage. Is this correct? ^JH” always blame the customer
negative,@united not my luggage
negative,@united it's boarding time for ua3882 but no crewe
neutral,@united just added one. Ty
positive,@united thanks for the effort. I can get the earliest. Though I will make a complaint for a refund as I am losing one business day tomorrow
neutral,@united.  Pls hold UA2066 for 9 cnx pax frm UA6194.  All runners.  A 5 min hold will save 2 fam frm miscnx.  Pls. Twitter is watching.
negative,@united no way one person is working entire security checkpoint in EWR 🆖
positive,@united THANK YOU!
negative,@united who authors this fiction? I just heard on radio we don't even have a jetway secured yet #UA5037 #CMH http://t.co/T78k7aBtWF
negative,@united so? Found anything or just showing off? You do realise that the morning flight that you Cancelled Flightled was more pricey than the evening?
negative,@united oh I did. Was still lost. Your tracking system stinks as does the delivery system.
negative,@united feeling like a true united customer stuck.on the tarmac in dc for over 2 hrs. UNITEDFAIL
neutral,@united pls follow for DM.
negative,@united leadership counts. landed at 11:15 last night-deplaned at 12:40. 45 minutes of that was waiting for the jetway. Inexcusable
negative,@united I sent you a DM as requested but have not heard anything. Can you address the issue I brought up in my DM and explain what happened?
negative,@united employee=faceless. Don't throw them under the bus. Starts with management. I'm almost a million miler and own my own company. 1/2
negative,@united you can't say the flight is pulled in and departs in 2 mins if boarding hasn't even started! http://t.co/2IKbP8gxWi
negative,@united  I understand that but why should I pay to change if it was a problem with your plane. If it was weather I would understand
negative,@united 30 hours Late Flightr still no answers stuck in Houston. Keep getting put on phantom flights that never apeared. #BadCustomerService
negative,@united you guys are horrible! First we get stuck in the snow for a hr in ewr now sitting in cmh saying it could be 30min for a gate
negative,"@united the hotel you sent us to wouldnt take the voucher. Our flight was delayed, then Cancelled Flightled, then delayed again. 32 hours and counting"
negative,@united DM'd you 4 hrs ago at your request. No response to be found .... just like my bag.
positive,@united worked out after all. Thanks for your immediate reply!!
negative,@united two hour delay for a plane that was visible from the airport. So far terrible customer service. #neveragain
neutral,"@united It was 3387. But we helped you with the weight issue, took your vouchers, and hopped on a @Delta flight instead. #winwin"
negative,"@united as if a 4 hour maintenance delay wasn't enuf, u charge me $25/bag as a global service platinum mbr. Get ur shit together"
negative,@united last week we also had maintenance issues and a flat tire. Another flight last week was Cancelled Flighted. Your track record is the WORST!
negative,@united this customer service experience will be tweeted for quality assurance.
negative,@united you should spend all of the money you take for our tickets and update your planes! Each flight has a maintenance issue!!!
neutral,@united can you put Russell Daiber (on same ticket) as well into premium Eco? Appreciated!
neutral,@united can you get me to okc from Sacramento today. Dfw is now closed
negative,@united any chance you could help rebook?? My flight Cancelled Flightled
neutral,"@united Out of curiosity, when a flight is arranged, are pilots notified? There are a lot of ""pilots haven't arrived yet"" announcements."
neutral,@united Yes. To Boston. I was going to Providence.
negative,@united you really need a better system for handling Cancelled Flightled flights http://t.co/3uBCoAsyws
neutral,@united how are conditions in BOS today? I'm in UA994. Everything appears to be in time but I wanted to check.
neutral,@united same day flights
negative,@united It is also inappropriate to lie to passengers to induce them into accepting a voucher by telling them you have availability on Late Flightr
negative,@United give me a direct number I can call regarding my lost baggage immediately.
negative,@united involuntarily bumped your passenger and can't guarantee them another flight for three days!
negative,@united Please follow FAA guidelines regarding bumping. It is NOT acceptable to give a $300 voucher for an $800 fare when you've
negative,"@united I did already rebook, and now I will miss my first appointments in London tomorrow morning. Thanks for ruining my trip - AGAIN!"
negative,".@united Our newest delay, right now http://t.co/96fTLZWtvO"
negative,"@united. If you show available seats, you need to honor that! I shouldnt spend 1hr on phone to hear that ""really there are 3 not 4 seats"""
negative,@united 50 min on hold trying to book award flight because site errors out.  Agents ask for my pin to see platinum availability??? badbadbad
negative,@united is a joke.  Lots of angry people at IAH this AM.
neutral,@united I6EP18
negative,@united completely unacceptable to seat 1st class passenger into middle seat in 38 (not even premium economy)
negative,"@united Found flight after 2.5 hrs. How am I offered a $200 flight voucher 12 hrs before, lose my seat out of neglect, then get nothing?"
neutral,@united DM'ed you
positive,"@united Nicole at Quito airport took great care of us this week. Handled lost baggage, seat changes. Very professional/nice. Pat her back."
neutral,@united why de-ice before taxing? Maybe it #makestoomuchsense ? #shouldhaveflowndelta #unitedsucks @Delta @SouthwestAir @AmericanAir
neutral,@united Flight 1547 CMH to ORD just arrived at gate. Next segment to YVR already boarding. Will they hold it?
negative,"@united right as we think we will take off, we stop to get de-iced. Why wasn't this done when the planes were sitting out all night?"
negative,@united two service agents hung up on me the third was able to get me a flight on US air today. Three calls and 2.5 hours to get a flight
negative,@united Delayed more and more these days. MCO &gt; IAD. Fingers crossed I make my connection home to Albany. #united1K
negative,"@united your first class is a joke, compared to all the others I have flown, don't ask for extra peanuts... That's NOT allowed! @AirCanada"
negative,@united I have been given a connection with 2 overnight layovers. No vouchers. Last connection not even confirmed.
positive,@united thanks for leaving our 3 year old in his own row flight 360 LAX-IAD
negative,@united I would like your baggage damage number as well! Another great thing from your 'trained' staff! Whats the number please.. Claim time
negative,"@united 100% I will put together a very serious email, with all the issues that arose on our vacation due to your staff I will post it here"
negative,@united thank you for fully boarding flight 1689 this morning before noticing we had no pilots. #fail
negative,@united the long wait was the icing on the cake. Why don't you fix your reservation system so the confirm # doesn't get changed mid-travel
negative,@united you guys SUCK! Another Cancelled Flighted flight! Every flight with you has an issue!
neutral,@united with about 25 people trying to get on flights
negative,"@united, more lies... http://t.co/BEqoTLNugc"
negative,@united they wouldn't let me on. Real nice of you! Just love your awesome service. And U have 2 people working this customer service line..
negative,@united after 6 hour plus delay from #WashingtonDC finally on flight to #Edinburgh all very tired
positive,@united thank you
negative,"@united, I don't believe that you do.. http://t.co/7z3GqEBfK2"
neutral,@united can you change DKYDE6 to 4583&gt;36 on 2/23 instead of 3636&gt;606&gt;36; original reservation was for 4404&gt;36 yesterday but was Cancelled Flightled.
negative,"@united : flight delayed by 24 hours, lost my wallet, have no money to eat or sleep yet your representatives will not help.#unitedsucks"
negative,@united lost 4 loyal customers and mileage plus card holders. We could have driven to Florida from Pa quicker both ways! Worst trip ever!
negative,@united they let us board again but will we fly this time? Who knows! #shouldhaveflowndelta
negative,@united apparently sleeping in B terminal wasn't the worst situation. Someone told other UA passengers they had to sleep at baggage claim.
negative,@united why don't you de-ice while the plane sits there with no one in it for 2 hours ?? Or we could just delay :/
negative,@united fuck you for not caring 😢
negative,"@united its been five days, I'm just asking you to clarify your policy on car seats. I don't want to have to take this higher up."
neutral,@united question. Are departure times based off eastern central time or the time zone your actually in?
positive,Very quick! TY. @united: @auciello I am sorry to hear this. Can you please follow and DM me the details of what transpired? ^JH
negative,@united if you lost my belongings then BE HONEST!
negative,@united Back at the Denver airport and ready for round two today. Ready to get home!
negative,@united  of course this morning I see a non-stop from IAH to SFO but that was not available yesterday. #UnitedHatesUsAll
negative,@united 20 minutes plus to get through to a two after the first one transferred me to a spanish hotline is unacceptable!
negative,@united @delta lost my luggage from ATL to  hdn luggage in denver and said @united will deliver my luggage to HDN airport claim# hdndl11785
negative,@united If United loses your baggage they will get it to the airport in the country your in and then it disappears!
neutral,"@united Was on NH10 on United ticket, rerouted to IAD due to weather in JFK. Can you get us home on United 5713 or 3277?"
negative,"@united Thank you for wasting my time &amp; money. Not only will I now arrive 5 hours Late Flight to my destination, but..."
negative,@United DO NOT FLY UNITED WITH CHECKED BAGGAGE! It will never find you!
negative,@United why can't you have an English/Spanish rep call me so we can locate my bag and resolve this issue?
negative,@united why would you overnight my bag Wed to an unknown location with a courier company you apparently can't contact!
negative,"@united Hey, thanks again for helping me miss my buddies 30th bday, you guys are really a trashy company #shouldhaveflowndelta #unitedsucks"
negative,@united I have never been more frustrated than my conversations with United who can't speak Spanish to the courier company that has my bag!
negative,@united I have never been mislead by a company as many times as I have this week by United Airlines!
negative,@united I would never fly United Airlines again!
negative,@united I am still in the airport waiting for my flight.
negative,@united your airline has been telling me that my luggage is one hour away from my destination for 5 days!
negative,@united now there is no one to operate the ramp to let us out of the plane in IAH...wow..just wow
positive,@united just did! Thank you!
positive,@united thank you!
negative,"@united Cancelled Flights your flight then sends you an email saying ""think about your next flight..."" #customer #outrage http://t.co/KkwiwI97A4"
negative,"@united did your super computer 💩 ots pants? Lots of cranky people in line at CMH reFlight Booking Problems, delaying check-ins of on-time, direct flyers"
negative,@united - you rebooked me to UA1764 after UA 3883 was Cancelled Flightled. I paid for first class ticket - but new seat is 38E. Can you please fix!
neutral,@united we need a new flight to Tucson
negative,@united is your check-in system down? I'm having trouble checking in for a flight that departs in less than 24 hrs.
negative,"@united, fuck you and your closed premier access lines at ORD. Probably gonna miss my flight...Start treating your customers better."
negative,@united Good luck with the no-enertainment-on-6-hour-flights strategy. Innovation at work. Hello @jetblue http://t.co/HI76BOavXY
negative,@united no HUMAN contact for 2 mths from @AmericanAir cust relations or refund dept. If ever a problem do u have humans I can talk to?
negative,@united you would think you would clean your ramps. Our jet is stuck in the snow in Newark. This would never happen with @Delta
negative,"@united I would understand if weather was the issue, but bc of airline maintenance I had to sleep on an airport floor and lose an entire day"
positive,@united I am - thank you!
negative,@united flight 403 is delayed 40 min bc a missing screw and were in danger of missing flight 6491
negative,@united @wamo66 after 2 hours and 20 minutes most of which I was on hold I was able to get the Cancelled Flightled flight changed to Delta.
negative,"@united no, ua 6 finally Cancelled Flighted after hrs of delay. The replacement flight leaves Late FlightR than this one was scheduled tomorrow. Not cool."
neutral,@united sister &amp; BIL stuck in Detroit desperately need to be in Florida flying w/ @USAirways is there anything you can do?
negative,@united overbooked by FIFTY people?!? the worst.
negative,@united On hold 2X 60 min ea. Trying to bk a tix to Asia. Your website &amp; customer service dont want my business. Korea Air it is.
negative,@united I would like to know what is the easiest way to get a refund.
negative,"@united help me, united! I paid for economy plus on a flight that was changed BC of delay. Will I be automatically refunded?"
negative,@united The engineer that designed the 787 door frame to extend half a foot into the plane for seat 27A should be forced to always sit here
neutral,@united I just sent to you.
negative,"@united your service need work - check out this Bush airport ""customer service line"" last nt #unitedagainstunited http://t.co/g00sAozgtv"
negative,"@united you realize you've said this already. At least last time you asked if I needed ""help"""
negative,@united Thanks.    This one was delayed an hour and a half prior to scheduled departure.
negative,"@united Also, your phone customer service is almost useless. http://t.co/Mb3bJwGOAp"
negative,@united lost bag on next flight. Didn't have time to load during the 5 hour delay?Consequence from platinum to gold
negative,"@united A day Late Flightr, one delayed &amp; one Cancelled Flightled flight, I'm at a gate with no seat assign. Lots of standby ppl also waiting."
negative,@united can you not get the first flight of the day off the ground on time?   #1531.  Let's go.......
positive,@united thank you for flying me out of the mess at IAD and out to San Diego. http://t.co/tlPBaupIk5
negative,@united What does delayed due to Customer Service mean for UA761?
negative,@united wifi wasn't working onboard.Alerted attendant re socket.You sent me to a hotel for 24 hours with 7$ Vouchers??no wifi at hotel
negative,@united flight #1 no luck on #standby
neutral,"@united Do you have plans for an iPad app?  The iPhone app is great, but on the  iPad you have to flip the iPad.  Is there a beta? Tks."
neutral,"@united I tried.   We were hung up on, twice. After speaking with someone, then put on hold for 45 minutes.  No resolution."
negative,"@united I'm not sure it will have ""next time""..."
negative,@united now the weight restriction? 'We'll try to get as many of you as we can on this plane'
positive,"@united Thank you but the person in Houston could only get me a flight routing through Newark, NJ and I'm going to SFO"
negative,@united you a bish
neutral,@united Thanks!  Good to know.
neutral,@united okay. Thanks.
negative,@united Conference begins in 3 hours. Up all night due to delays and still waiting to talk to someone about lost luggage.
neutral,"@united Seat 14A, Flight UA895"
neutral,@united is it on a flight now? Thanks for reply.
negative,@united is 4:30am and I am in the customer service line trying not to scream. #epicfailunited
neutral,@united it can't be delivered. It has to be held there for me to cross the border to pick up. Please don't try to deliver.
positive,@united My bag reference ID number is IND43728M. Thanks for looking at it.
positive,@united one lady helping the 12 of us with luggage
negative,@united flighted delayed for hours. 10pm arrival to Vegas is now 4am. Did you seriously lose my luggage???
positive,@united met with agent. All taken care of. Thx for reply
positive,@united @suntoshi I still like you united airlines
negative,"@united 2100$ ticket,12h biz trvl,no wifi.Missed con flt,next one#24h,missed meeting,7$ food voucher,hotel chkout#12,flt#5,no wifi#hotel"
negative,"@united still missing my luggage, was promised someone would call, no call so far, flight from Shanghai to DC with connecting flight in ORD"
neutral,"@united are you looking for European Flight attendants for Paris or Frankfurt?

Best, 

Fabrice"
negative,@united you Cancelled Flightled my flight without notification?
negative,"@united since I have an international connection at 9am, I'm hoping for the same thing!"
neutral,@united need help. Never got tickets. Conf #ggqzqd
neutral,"@united some compensation (e.g. upgrade to higher class for my rescheduled flight to MUC today) will be appreciated, though ;)"
negative,@united it is too Late Flight for reFlight Booking Problems now - it is morning already and I no longer need a hotel room
negative,@united  once again your customer service at the providence airport was horrible. Do you actually care about customers or just making money?
neutral,"Sorry, @united. I accidentally popuLate Flightd with you instead of @USAirways. Can't wait 'til ""U"" are the only ""U"" in the sky. #NewAmericanStinks"
negative,@united you have Cancelled Flightled my flight UA922 for aircrft maintenance. I'm delayed 10 hours now. What's my refund options?
negative,@united where is my bag?? I'm in Mexico about to go build a house &amp; my suitcase never got on my flight from CLE w me. I need it. SAN68059M
negative,@united I know that. Thanks for the standard reply.
negative,@united you told me you changed my flight and im in the ottawa airport and AC cant find my reservation! Whats wrong with you
negative,@united This has been the WORST flight experience I've ever had. Thank you for ending my vacation on such a bad note.
positive,@united thanks for the epic service on 863- always a pleasure- outstanding crew http://t.co/trqlpeinzW
negative,"@united hey, it's 4am, guess what I'm doing? Not sleeping! Why? Cause you care so little about your customers you let them sleep in airports"
negative,@united no my concerns were not addressed
negative,@united DUH and done. bag whereabouts unknown. Greeeaat
negative,"@united thanks for letting me sleep at DIA to ensure you ruin as much of my vacation as possible. Wait, no, fuck you. #unitedairlinessucks"
negative,"@united oh, I'll be sharing alright. Especially about sleeping in this shitty airport and getting 1hr of sleep all night because UA."
negative,@united @MaxAbrahms *if* he needs assistance? Do you expect him to go on a Scooby Doo tour of terminals until he finds his stuff?
negative,Thanks @united for writing back. To assist you can return the bag you lost &amp; clean up the feces sprinkled in your bathroom. Too much to ask?
negative,@united you hung up on me again.
negative,"@united your ""customer service"" team in manilla is absolute shit. I can't even get a supervisor without being out back on hold?!"
negative,@united it's disgusting and unconscionable the treatment I've received tonight.
negative,@united of course I would like hepl! Are you kidding me? That's the ONLY reason I've been on hold for the past 5 hours!
negative,@united @ThisIsCoach Every time my united flight got delayed. this is a big frustration.
negative,@united you've got to be kidding me. I still haven't talked to a human and your robotweeting me?! And asking for a follow????
negative,".@united I wouldn't describe feces sprinkled in your bathroom as an inconvenience. To help, you might find my baggage you lost &amp; return it."
negative,@united and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best
negative,"@united is that all that matters, not the fact that we're at a different destination, we were put through a tremendous amount of stress,"
negative,@united 1k member broken seat back broken tv broken light lost bag  gee thnx. UA922 awesome job
negative,@united absolutely disgusting the way you treat your customers. Isn't there anyone actively monitoring your Cust serve? This is  unreal!!
negative,@united nice. I wonder how you pick who to respond to? Maybe only happy customers are easier. I wonder how many of those you have left.
negative,@united averaging 200 minute wait times tonight or what? I've gotten no help from you tonight.
negative,@united thanks for nothing. Really?!? 60 minute wait times when I've had to call back 4x. That's 240minute wait times.
negative,@united you're customer service is unbelievably bad. Abysmal. I've been on the phone for well over 2hrs tonight. Hung up on by yr ppl 3x.
negative,@united you can read the full story when I submit a case to your team about the pilot of flight 6232 and why we are sleeping in DIA
neutral,@united what's with the layover in Canada from the UA125? Is that scheduled?
negative,@united an inconvenience is a weather delay. Your pilot deciding to waste enough time so the FAA wouldn't let him fly is negligence.
negative,@united I bought a ticket with a price that was published by mistake and now I got an email that indicates United Cancelled Flightled my ticket! Why?
negative,@united new 737 plane; wifi: not working. Entertainment: non existent. New Seats: seriously uncomfortable. Really? #unitedfail UA1550
negative,@united - you sure missed the mark on tonight's redeye from LAX to Chicago. What a mess! You can do better!
negative,@united after 443min of avoidable non-weather delays that #Appreciation link better be giving out #GoldenTickets
negative,@united where is our luggage
negative,@united we just left @flySFO (delayed). http://t.co/XzBAjMiekx
neutral,@united all set. Figured it out at the baggage office!
negative,@united screws up again...to be expected! NEVER AGAIN!
negative,@united why don't you allow families with small children to board first anymore? Our next flight will be on another airline...
positive,@united Life goal: complete ✔️
neutral,@united I have $20 and I'll draw you a super sweet picture of your choosing. Will that get me round-trip to San Diego? 🌴🌴 It's so cold here.
negative,@united flight Cancelled Flightled to Denver service agent offered me a non jet salt lake to Denver or red eye out of Atlanta then hung up on me.
negative,"@united That's called throwing ""loyalty"" out the window and trying to give less awards."
negative,"@united your unhelpful team? Sure I did. I'm in Bangkok, my bag in Chicago. Are u going to pay for my accommodation s until my bag arrives??"
negative,"@united I'd hardly call going from 10,000 miles to 1,000+ miles a ticket cutting edge. About 1/10 the perk?"
negative,@united that's not an apology. Say it.
positive,@united Just sent a DM. Thank you for the acknowledgment.
neutral,@united download jeokoo the American app for air travelers
negative,@united been on hold for almost two hours trying to talk to someone about a Cancelled Flighted flight tomorrow morning. What do you suggest?
negative,@united no apology? Cool.
negative,"@united you ask a lot of customers who  you routinely screw over. You know that, right?"
negative,@united I'm a first time solo female traveller and it's pretty scary being in a foreign place not knowing where your belongings are...
negative,"@united I am. Who knows where my bags are. Do I just wait around and hope they arrive? No one has answers, I have plans and no answers...."
negative,@united somehow I knew that you'd wait until I was airborne to respond. #hacks #jokers #neveragain.
negative,@united Missing flight attendant = Delayed Flight. Prime example how 1 person impacts 100's of people. HNL -&gt; IAH (UA252) #wastedtime
negative,@united has me stranded in Texas and then hangs up on me when I'm trying to figure out how to get home. Cool.
negative,@united we have tried to change our flight THREE times on the phone and got disconnected each time.
negative,"@united poor showing today, no assistance to passengers who mis connected due to maintenance and waiting for baggage"
negative,"@united has been showing the same tone deaf video for all these years about how ""wifi is coming!"" Hah.Not before I leave. @VirginAmerica ftw"
neutral,@united Can I get a follow? I fly with you for Christmas.
negative,"@united more people stranded cause you suck. Better yet, you weasel out of Flight Booking Problems rooms for people claiming weather http://t.co/Flcnnn2USD"
negative,@united look at all the delta flights that landed while your pilots claimed they couldn't fly 6232 to JAC. http://t.co/6Kp4m0R1f7
positive,@united thank you! Much appreciation for your help.
negative,"@united Been sitting on flight 435 for an hour after landing in Newark. First no gate, then no jetway operator. Seriously!?"
negative,@united worst customer service experience ever. 40 minutes to get the jetway to the plane at EWR tonight. Flight 354   Disappointed
negative,@united - not only 2 hour delay - double booked seat nit parked at wrong gate - incompetence at its finest - been waiting  for over 1 hr
